task,block,file,word,condition
Generation,Block1,x095abuse.wav,abuse,sing
Generation,Block1,x051admired.wav,admired,sing
Generation,Block1,x050adult.wav,adult,sing
Generation,Block1,x032alcoholic.wav,alcoholic,sing
Generation,Block1,x092amateur.wav,amateur,sing
Generation,Block1,x064ancient.wav,ancient,sing
Generation,Block1,x090anguished.wav,anguished,sing
Generation,Block1,x039ankle.wav,ankle,sing
Generation,Block1,x025arrival.wav,arrival,sing
Generation,Block1,x086background.wav,background,sing
Generation,Block1,x018basement.wav,basement,sing
Generation,Block1,x030beautiful.wav,beautiful,sing
Generation,Block1,x002beauty.wav,beauty,sing
Generation,Block1,x105black.wav,black,sing
Generation,Block1,x043brutal.wav,brutal,sing
Generation,Block1,x015chaos.wav,chaos,sing
Generation,Block1,x093comedy.wav,comedy,sing
Generation,Block1,x067concrete.wav,concrete,sing
Generation,Block1,x054consonent.wav,consonant,sing
Generation,Block1,x036cute.wav,cute,sing
Generation,Block1,x034deceit.wav,deceit,sing
Generation,Block1,x014depression.wav,depression,sing
Generation,Block1,x078disloyal.wav,disloyal,sing
Generation,Block1,x045divorce.wav,divorce,sing
Generation,Block1,x075easygoing.wav,easygoing,sing
Generation,Block1,x035elated.wav,elated,sing
Generation,Block1,x029empty.wav,empty,sing
Generation,Block1,x083ending.wav,ending,sing
Generation,Block1,x033engaged.wav,engaged,sing
Generation,Block1,x063enjoyment.wav,enjoyment,sing
Generation,Block1,x076evening.wav,evening,sing
Generation,Block1,x048failure.wav,failure,sing
Generation,Block1,x024fearful.wav,fearful,sing
Generation,Block1,x091festive.wav,festive,sing
Generation,Block1,x065free.wav,free,sing
Generation,Block1,x072friend.wav,friend,sing
Generation,Block1,x001fun.wav,fun,sing
Generation,Block1,x004gentle.wav,gentle,sing
Generation,Block1,x049glory.wav,glory,sing
Generation,Block1,x058grin.wav,grin,sing
Generation,Block1,x071guilty.wav,guilty,sing
Generation,Block1,x084handsome.wav,handsome,sing
Generation,Block1,x038honest.wav,honest,sing
Generation,Block1,x094hostile.wav,hostile,sing
Generation,Block1,x059husband.wav,husband,sing
Generation,Block1,x037ignorance.wav,ignorance,sing
Generation,Block1,x062illness.wav,illness,sing
Generation,Block1,x096immediate.wav,immediate,sing
Generation,Block1,x098inedible.wav,inedible,sing
Generation,Block1,x019innermost.wav,innermost,sing
Generation,Block1,x102input.wav,input,sing
Generation,Block1,x017insane.wav,insane,sing
Generation,Block1,x099jolly.wav,jolly,sing
Generation,Block1,x020justice.wav,justice,sing
Generation,Block1,x089kindness.wav,kindness,sing
Generation,Block1,x021limber.wav,limber,sing
Generation,Block1,x079lion.wav,lion,sing
Generation,Block1,x077lonely.wav,lonely,sing
Generation,Block1,x097loser.wav,loser,sing
Generation,Block1,x085lost.wav,lost,sing
Generation,Block1,x053loved.wav,loved,sing
Generation,Block1,x023luxury.wav,luxury,sing
Generation,Block1,x080manual.wav,manual,sing
Generation,Block1,x073minus.wav,minus,sing
Generation,Block1,x103mistake.wav,mistake,sing
Generation,Block1,x016noisy.wav,noisy,sing
Generation,Block1,x052pedestrian.wav,pedestrian,sing
Generation,Block1,x100politeness.wav,politeness,sing
Generation,Block1,x009profit.wav,profit,sing
Generation,Block1,x104proud.wav,proud,sing
Generation,Block1,x070punishment.wav,punishment,sing
Generation,Block1,x003quarrel.wav,quarrel,sing
Generation,Block1,x101quiet.wav,quiet,sing
Generation,Block1,x046respectful.wav,respectful,sing
Generation,Block1,x055riches.wav,riches,sing
Generation,Block1,x042rude.wav,rude,sing
Generation,Block1,x074sad.wav,sad,sing
Generation,Block1,x013satisfied.wav,satisfied,sing
Generation,Block1,x027sick.wav,sick,sing
Generation,Block1,x011sickness.wav,sickness,sing
Generation,Block1,x047soft.wav,soft,sing
Generation,Block1,x088southern.wav,southern,sing
Generation,Block1,x012stereo.wav,stereo,sing
Generation,Block1,x041success.wav,success,sing
Generation,Block1,x031summer.wav,summer,sing
Generation,Block1,x044sunrise.wav,sunrise,sing
Generation,Block1,x057terrible.wav,terrible,sing
Generation,Block1,x061terrific.wav,terrific,sing
Generation,Block1,x087tidy.wav,tidy,sing
Generation,Block1,x068traitor.wav,traitor,sing
Generation,Block1,x022treasure.wav,treasure,sing
Generation,Block1,x005trust.wav,trust,sing
Generation,Block1,x028truth.wav,truth,sing
Generation,Block1,x010ubiquitous.wav,ubiquitous,sing
Generation,Block1,x060unhappy.wav,unhappy,sing
Generation,Block1,x081upset.wav,upset,sing
Generation,Block1,x056useable.wav,useable,sing
Generation,Block1,x066venom.wav,venom,sing
Generation,Block1,x082victory.wav,victory,sing
Generation,Block1,x007violent.wav,violent,sing
Generation,Block1,x040warm.wav,warm,sing
Generation,Block1,x026warmth.wav,warmth,sing
Generation,Block1,x069westward.wav,westward,sing
Generation,Block1,x008win.wav,win,sing
Generation,Block1,x006window.wav,window,sing
