task,block,file,word,condition
Repetition,Block1,x098adorable.wav,adorable,sing
Repetition,Block1,x096adult.wav,adult,sing
Repetition,Block1,x002alcoholic.wav,alcoholic,sing
Repetition,Block1,x090alive.wav,alive,sing
Repetition,Block1,x103ancient.wav,ancient,sing
Repetition,Block1,x071animate.wav,animate,sing
Repetition,Block1,x073atypical.wav,atypical,sing
Repetition,Block1,x032background.wav,background,sing
Repetition,Block1,x015beauty.wav,beauty,sing
Repetition,Block1,x008black.wav,black,sing
Repetition,Block1,x025bright.wav,bright,sing
Repetition,Block1,x082brutal.wav,brutal,sing
Repetition,Block1,x037carefree.wav,carefree,sing
Repetition,Block1,x013circle.wav,circle,sing
Repetition,Block1,x044cold.wav,cold,sing
Repetition,Block1,x055comedy.wav,comedy,sing
Repetition,Block1,x083concrete.wav,concrete,sing
Repetition,Block1,x099consonent.wav,consonant,sing
Repetition,Block1,x061coward.wav,coward,sing
Repetition,Block1,x009deceit.wav,deceit,sing
Repetition,Block1,x078depressed.wav,depressed,sing
Repetition,Block1,x046devil.wav,devil,sing
Repetition,Block1,x005devoted.wav,devoted,sing
Repetition,Block1,x012discomfort.wav,discomfort,sing
Repetition,Block1,x050elated.wav,elated,sing
Repetition,Block1,x020empty.wav,empty,sing
Repetition,Block1,x077engaged.wav,engaged,sing
Repetition,Block1,x065evening.wav,evening,sing
Repetition,Block1,x101fat.wav,fat,sing
Repetition,Block1,x035festive.wav,festive,sing
Repetition,Block1,x048fork.wav,fork,sing
Repetition,Block1,x045free.wav,free,sing
Repetition,Block1,x038friend.wav,friend,sing
Repetition,Block1,x003friendly.wav,friendly,sing
Repetition,Block1,x060gentle.wav,gentle,sing
Repetition,Block1,x058glory.wav,glory,sing
Repetition,Block1,x040handsome.wav,handsome,sing
Repetition,Block1,x066honest.wav,honest,sing
Repetition,Block1,x006hostile.wav,hostile,sing
Repetition,Block1,x076husband.wav,husband,sing
Repetition,Block1,x094incomplete.wav,incomplete,sing
Repetition,Block1,x011innermost.wav,innermost,sing
Repetition,Block1,x104input.wav,input,sing
Repetition,Block1,x029insider.wav,insider,sing
Repetition,Block1,x100jolly.wav,jolly,sing
Repetition,Block1,x095joy.wav,joy,sing
Repetition,Block1,x085joyful.wav,joyful,sing
Repetition,Block1,x001justice.wav,justice,sing
Repetition,Block1,x084lion.wav,lion,sing
Repetition,Block1,x034liquid.wav,liquid,sing
Repetition,Block1,x069loneliness.wav,loneliness,sing
Repetition,Block1,x041lonely.wav,lonely,sing
Repetition,Block1,x016loser.wav,loser,sing
Repetition,Block1,x014loved.wav,loved,sing
Repetition,Block1,x074luxury.wav,luxury,sing
Repetition,Block1,x068mad.wav,mad,sing
Repetition,Block1,x063minus.wav,minus,sing
Repetition,Block1,x004misery.wav,misery,sing
Repetition,Block1,x072mistake.wav,mistake,sing
Repetition,Block1,x039nail.wav,nail,sing
Repetition,Block1,x089noisy.wav,noisy,sing
Repetition,Block1,x022oasis.wav,oasis,sing
Repetition,Block1,x052odd.wav,odd,sing
Repetition,Block1,x027pain.wav,pain,sing
Repetition,Block1,x070paradise.wav,paradise,sing
Repetition,Block1,x086pedestrian.wav,pedestrian,sing
Repetition,Block1,x093penalty.wav,penalty,sing
Repetition,Block1,x056permanent.wav,permanent,sing
Repetition,Block1,x023poverty.wav,poverty,sing
Repetition,Block1,x081promotion.wav,promotion,sing
Repetition,Block1,x075protected.wav,protected,sing
Repetition,Block1,x017proud.wav,proud,sing
Repetition,Block1,x031quick.wav,quick,sing
Repetition,Block1,x043quiet.wav,quiet,sing
Repetition,Block1,x028respectful.wav,respectful,sing
Repetition,Block1,x030reward.wav,reward,sing
Repetition,Block1,x062rude.wav,rude,sing
Repetition,Block1,x026saint.wav,saint,sing
Repetition,Block1,x054satisfied.wav,satisfied,sing
Repetition,Block1,x092sick.wav,sick,sing
Repetition,Block1,x088sickness.wav,sickness,sing
Repetition,Block1,x053slave.wav,slave,sing
Repetition,Block1,x019smile.wav,smile,sing
Repetition,Block1,x059starving.wav,starving,sing
Repetition,Block1,x067stereo.wav,stereo,sing
Repetition,Block1,x080stiff.wav,stiff,sing
Repetition,Block1,x105success.wav,success,sing
Repetition,Block1,x051summer.wav,summer,sing
Repetition,Block1,x091symmetry.wav,symmetry,sing
Repetition,Block1,x102thief.wav,thief,sing
Repetition,Block1,x064thoughtful.wav,thoughtful,sing
Repetition,Block1,x097treasure.wav,treasure,sing
Repetition,Block1,x033troubled.wav,troubled,sing
Repetition,Block1,x042trust.wav,trust,sing
Repetition,Block1,x024ugly.wav,ugly,sing
Repetition,Block1,x018unfaithful.wav,unfaithful,sing
Repetition,Block1,x047unhappy.wav,unhappy,sing
Repetition,Block1,x087untroubled.wav,untroubled,sing
Repetition,Block1,x007venom.wav,venom,sing
Repetition,Block1,x079war.wav,war,sing
Repetition,Block1,x057warm.wav,warm,sing
Repetition,Block1,x021wealthy.wav,wealthy,sing
Repetition,Block1,x049win.wav,win,sing
Repetition,Block1,x036window.wav,window,sing
Repetition,Block1,x010wise.wav,wise,sing
