task,block,file,word,condition
Generation,Block1,x095abuse.wav,abuse,speak
Generation,Block1,x051admired.wav,admired,speak
Generation,Block1,x050adult.wav,adult,speak
Generation,Block1,x032alcoholic.wav,alcoholic,speak
Generation,Block1,x092amateur.wav,amateur,speak
Generation,Block1,x064ancient.wav,ancient,speak
Generation,Block1,x090anguished.wav,anguished,speak
Generation,Block1,x039ankle.wav,ankle,speak
Generation,Block1,x025arrival.wav,arrival,speak
Generation,Block1,x086background.wav,background,speak
Generation,Block1,x018basement.wav,basement,speak
Generation,Block1,x030beautiful.wav,beautiful,speak
Generation,Block1,x002beauty.wav,beauty,speak
Generation,Block1,x105black.wav,black,speak
Generation,Block1,x043brutal.wav,brutal,speak
Generation,Block1,x015chaos.wav,chaos,speak
Generation,Block1,x093comedy.wav,comedy,speak
Generation,Block1,x067concrete.wav,concrete,speak
Generation,Block1,x054consonent.wav,consonant,speak
Generation,Block1,x036cute.wav,cute,speak
Generation,Block1,x034deceit.wav,deceit,speak
Generation,Block1,x014depression.wav,depression,speak
Generation,Block1,x078disloyal.wav,disloyal,speak
Generation,Block1,x045divorce.wav,divorce,speak
Generation,Block1,x075easygoing.wav,easygoing,speak
Generation,Block1,x035elated.wav,elated,speak
Generation,Block1,x029empty.wav,empty,speak
Generation,Block1,x083ending.wav,ending,speak
Generation,Block1,x033engaged.wav,engaged,speak
Generation,Block1,x063enjoyment.wav,enjoyment,speak
Generation,Block1,x076evening.wav,evening,speak
Generation,Block1,x048failure.wav,failure,speak
Generation,Block1,x024fearful.wav,fearful,speak
Generation,Block1,x091festive.wav,festive,speak
Generation,Block1,x065free.wav,free,speak
Generation,Block1,x072friend.wav,friend,speak
Generation,Block1,x001fun.wav,fun,speak
Generation,Block1,x004gentle.wav,gentle,speak
Generation,Block1,x049glory.wav,glory,speak
Generation,Block1,x058grin.wav,grin,speak
Generation,Block1,x071guilty.wav,guilty,speak
Generation,Block1,x084handsome.wav,handsome,speak
Generation,Block1,x038honest.wav,honest,speak
Generation,Block1,x094hostile.wav,hostile,speak
Generation,Block1,x059husband.wav,husband,speak
Generation,Block1,x037ignorance.wav,ignorance,speak
Generation,Block1,x062illness.wav,illness,speak
Generation,Block1,x096immediate.wav,immediate,speak
Generation,Block1,x098inedible.wav,inedible,speak
Generation,Block1,x019innermost.wav,innermost,speak
Generation,Block1,x102input.wav,input,speak
Generation,Block1,x017insane.wav,insane,speak
Generation,Block1,x099jolly.wav,jolly,speak
Generation,Block1,x020justice.wav,justice,speak
Generation,Block1,x089kindness.wav,kindness,speak
Generation,Block1,x021limber.wav,limber,speak
Generation,Block1,x079lion.wav,lion,speak
Generation,Block1,x077lonely.wav,lonely,speak
Generation,Block1,x097loser.wav,loser,speak
Generation,Block1,x085lost.wav,lost,speak
Generation,Block1,x053loved.wav,loved,speak
Generation,Block1,x023luxury.wav,luxury,speak
Generation,Block1,x080manual.wav,manual,speak
Generation,Block1,x073minus.wav,minus,speak
Generation,Block1,x103mistake.wav,mistake,speak
Generation,Block1,x016noisy.wav,noisy,speak
Generation,Block1,x052pedestrian.wav,pedestrian,speak
Generation,Block1,x100politeness.wav,politeness,speak
Generation,Block1,x009profit.wav,profit,speak
Generation,Block1,x104proud.wav,proud,speak
Generation,Block1,x070punishment.wav,punishment,speak
Generation,Block1,x003quarrel.wav,quarrel,speak
Generation,Block1,x101quiet.wav,quiet,speak
Generation,Block1,x046respectful.wav,respectful,speak
Generation,Block1,x055riches.wav,riches,speak
Generation,Block1,x042rude.wav,rude,speak
Generation,Block1,x074sad.wav,sad,speak
Generation,Block1,x013satisfied.wav,satisfied,speak
Generation,Block1,x027sick.wav,sick,speak
Generation,Block1,x011sickness.wav,sickness,speak
Generation,Block1,x047soft.wav,soft,speak
Generation,Block1,x088southern.wav,southern,speak
Generation,Block1,x012stereo.wav,stereo,speak
Generation,Block1,x041success.wav,success,speak
Generation,Block1,x031summer.wav,summer,speak
Generation,Block1,x044sunrise.wav,sunrise,speak
Generation,Block1,x057terrible.wav,terrible,speak
Generation,Block1,x061terrific.wav,terrific,speak
Generation,Block1,x087tidy.wav,tidy,speak
Generation,Block1,x068traitor.wav,traitor,speak
Generation,Block1,x022treasure.wav,treasure,speak
Generation,Block1,x005trust.wav,trust,speak
Generation,Block1,x028truth.wav,truth,speak
Generation,Block1,x010ubiquitous.wav,ubiquitous,speak
Generation,Block1,x060unhappy.wav,unhappy,speak
Generation,Block1,x081upset.wav,upset,speak
Generation,Block1,x056useable.wav,useable,speak
Generation,Block1,x066venom.wav,venom,speak
Generation,Block1,x082victory.wav,victory,speak
Generation,Block1,x007violent.wav,violent,speak
Generation,Block1,x040warm.wav,warm,speak
Generation,Block1,x026warmth.wav,warmth,speak
Generation,Block1,x069westward.wav,westward,speak
Generation,Block1,x008win.wav,win,speak
Generation,Block1,x006window.wav,window,speak
