task,block,file,word,condition
Repetition,Block2,x170abuse.wav,abuse,speak
Repetition,Block2,x122addition.wav,addition,speak
Repetition,Block2,x165admired.wav,admired,speak
Repetition,Block2,x116afraid.wav,afraid,speak
Repetition,Block2,x172amateur.wav,amateur,speak
Repetition,Block2,x173angel.wav,angel,speak
Repetition,Block2,x128anguished.wav,anguished,speak
Repetition,Block2,x203ankle.wav,ankle,speak
Repetition,Block2,x163arm.wav,arm,speak
Repetition,Block2,x183arrival.wav,arrival,speak
Repetition,Block2,x107basement.wav,basement,speak
Repetition,Block2,x189beautiful.wav,beautiful,speak
Repetition,Block2,x133catch.wav,catch,speak
Repetition,Block2,x109chaos.wav,chaos,speak
Repetition,Block2,x122component.wav,component,speak
Repetition,Block2,x158cruel.wav,cruel,speak
Repetition,Block2,x120cute.wav,cute,speak
Repetition,Block2,x136danger.wav,danger,speak
Repetition,Block2,x108dead.wav,dead,speak
Repetition,Block2,x160death.wav,death,speak
Repetition,Block2,x152debt.wav,debt,speak
Repetition,Block2,x159deep.wav,deep,speak
Repetition,Block2,x169demon.wav,demon,speak
Repetition,Block2,x118depression.wav,depression,speak
Repetition,Block2,x195disloyal.wav,disloyal,speak
Repetition,Block2,x123displeased.wav,displeased,speak
Repetition,Block2,x150divorce.wav,divorce,speak
Repetition,Block2,x210easygoing.wav,easygoing,speak
Repetition,Block2,x187ending.wav,ending,speak
Repetition,Block2,x208enjoyment.wav,enjoyment,speak
Repetition,Block2,x207exotic.wav,exotic,speak
Repetition,Block2,x206failure.wav,failure,speak
Repetition,Block2,x121fauna.wav,fauna,speak
Repetition,Block2,x174fearful.wav,fearful,speak
Repetition,Block2,x139filth.wav,filth,speak
Repetition,Block2,x143firm.wav,firm,speak
Repetition,Block2,x154flat.wav,flat,speak
Repetition,Block2,x145freedom.wav,freedom,speak
Repetition,Block2,x191fun.wav,fun,speak
Repetition,Block2,x148greatful.wav,grateful,speak
Repetition,Block2,x175grin.wav,grin,speak
Repetition,Block2,x156guilty.wav,guilty,speak
Repetition,Block2,x135happy.wav,happy,speak
Repetition,Block2,x161hard.wav,hard,speak
Repetition,Block2,x201hatred.wav,hatred,speak
Repetition,Block2,x130hell.wav,hell,speak
Repetition,Block2,x188helpless.wav,helpless,speak
Repetition,Block2,x181honor.wav,honor,speak
Repetition,Block2,x197humid.wav,humid,speak
Repetition,Block2,x186ignorance.wav,ignorance,speak
Repetition,Block2,x124illness.wav,illness,speak
Repetition,Block2,x199immediate.wav,immediate,speak
Repetition,Block2,x167implosion.wav,implosion,speak
Repetition,Block2,x142impotent.wav,impotent,speak
Repetition,Block2,x171indoor.wav,indoor,speak
Repetition,Block2,x202inedible.wav,inedible,speak
Repetition,Block2,x111insane.wav,insane,speak
Repetition,Block2,x182insecure.wav,insecure,speak
Repetition,Block2,x114kindness.wav,kindness,speak
Repetition,Block2,x147liberty.wav,liberty,speak
Repetition,Block2,x178limber.wav,limber,speak
Repetition,Block2,x200lost.wav,lost,speak
Repetition,Block2,x134loyal.wav,loyal,speak
Repetition,Block2,x140manual.wav,manual,speak
Repetition,Block2,x157matriarch.wav,matriarch,speak
Repetition,Block2,x125mentor.wav,mentor,speak
Repetition,Block2,x153millionaire.wav,millionaire,speak
Repetition,Block2,x146outdoor.wav,outdoor,speak
Repetition,Block2,x205outward.wav,outward,speak
Repetition,Block2,x131pleasure.wav,pleasure,speak
Repetition,Block2,x196politeness.wav,politeness,speak
Repetition,Block2,x166profit.wav,profit,speak
Repetition,Block2,x115punishment.wav,punishment,speak
Repetition,Block2,x184quarrel.wav,quarrel,speak
Repetition,Block2,x192rejected.wav,rejected,speak
Repetition,Block2,x155riches.wav,riches,speak
Repetition,Block2,x209rotten.wav,rotten,speak
Repetition,Block2,x106sad.wav,sad,speak
Repetition,Block2,x168soft.wav,soft,speak
Repetition,Block2,x129southern.wav,southern,speak
Repetition,Block2,x113spacious.wav,spacious,speak
Repetition,Block2,x190stench.wav,stench,speak
Repetition,Block2,x198stress.wav,stress,speak
Repetition,Block2,x119stupid.wav,stupid,speak
Repetition,Block2,x117sunrise.wav,sunrise,speak
Repetition,Block2,x179teacher.wav,teacher,speak
Repetition,Block2,x149terrible.wav,terrible,speak
Repetition,Block2,x194terrific.wav,terrific,speak
Repetition,Block2,x180thankful.wav,thankful,speak
Repetition,Block2,x110tidy.wav,tidy,speak
Repetition,Block2,x162tragedy.wav,tragedy,speak
Repetition,Block2,x193traitor.wav,traitor,speak
Repetition,Block2,x127triumph.wav,triumph,speak
Repetition,Block2,x144truth.wav,truth,speak
Repetition,Block2,x132ubiquitous.wav,ubiquitous,speak
Repetition,Block2,x164upset.wav,upset,speak
Repetition,Block2,x138useable.wav,useable,speak
Repetition,Block2,x126useless.wav,useless,speak
Repetition,Block2,x204vacation.wav,vacation,speak
Repetition,Block2,x137victory.wav,victory,speak
Repetition,Block2,x176violent.wav,violent,speak
Repetition,Block2,x141warmth.wav,warmth,speak
Repetition,Block2,x177wedding.wav,wedding,speak
Repetition,Block2,x185western.wav,western,speak
Repetition,Block2,x151westward.wav,westward,speak
